SHORTCODE,CLUB,ERROR
Bdm-yeph7pX,rudas,<class 'json.decoder.JSONDecodeError'>
Bdm-dHoBJzC,rudas,<class 'json.decoder.JSONDecodeError'>
Bhr5O7yhbdm,grandBoston,<class 'json.decoder.JSONDecodeError'>
BhehngpBmbn,grandBoston,<class 'json.decoder.JSONDecodeError'>
BbVFoNxlYly,grandBoston,<class 'json.decoder.JSONDecodeError'>
BiFJFKYhVuY,grandBoston,<class 'json.decoder.JSONDecodeError'>
BiXJ8VFBeOc,grandBoston,<class 'json.decoder.JSONDecodeError'>
BikoaIGglxx,grandSF,<class 'json.decoder.JSONDecodeError'>
BiibmbABbp0,grandSF,<class 'json.decoder.JSONDecodeError'>
Bh7IE-3B7U5,grandSF,<class 'json.decoder.JSONDecodeError'>
Bd7CTC0l2ny,prsymCH,<class 'json.decoder.JSONDecodeError'>
BdW8Fg7F3Az,prsymCH,<class 'json.decoder.JSONDecodeError'>
Bfy7NTYFlAf,prsymCH,<class 'json.decoder.JSONDecodeError'>
BbWIn9Jlw2X,prsymCH,<class 'json.decoder.JSONDecodeError'>
BhNYtRHFFqb,prsymCH,<class 'json.decoder.JSONDecodeError'>
BhMpnCcF5De,prsymCH,<class 'json.decoder.JSONDecodeError'>
BineYyeltLU,prsymCH,<class 'json.decoder.JSONDecodeError'>
BgZGnGZHSYj,prsymCH,<class 'json.decoder.JSONDecodeError'>
